lg_nw,r_nw,t_ox,N_sd,eps_ox,index
20,2,1,1.0e+20,22,300
16,4,1.5,1.0e+20,22,301
10,3,1.5,5.0e+19,7.5,302
18,3,1.5,2.0e+20,7.5,303
10,5,1,5.0e+19,22,304
14,4,1,2.0e+20,22,305
14,3,1,2.0e+20,7.5,306
10,5,1,2.0e+20,7.5,307
12,2,0.5,1.0e+20,22,308
12,2,1.5,2.0e+20,7.5,309
18,3,0.5,1.0e+20,22,310
14,3,1,1.0e+20,22,311
16,4,1.5,5.0e+19,22,312
14,2,0.5,5.0e+19,22,313
18,3,0.5,2.0e+20,22,314
14,4,0.5,2.0e+20,3.9,315
16,3,1,1.0e+20,7.5,316
14,5,1.5,1.0e+20,3.9,317
14,2,0.5,5.0e+19,7.5,318
10,5,1,1.0e+20,7.5,319
10,4,1.5,1.0e+20,3.9,320
14,3,0.5,1.0e+20,3.9,321
16,4,1,1.0e+20,7.5,322
18,4,0.5,5.0e+19,22,323
10,2,0.5,1.0e+20,3.9,324
14,5,0.5,2.0e+20,22,325
10,2,1,1.0e+20,7.5,326
16,3,1.5,2.0e+20,22,327
12,4,1.5,5.0e+19,3.9,328
10,3,0.5,2.0e+20,7.5,329
18,2,1,1.0e+20,7.5,330
10,4,1,5.0e+19,7.5,331
10,3,1,1.0e+20,22,332
14,2,1,5.0e+19,7.5,333
18,4,1.5,1.0e+20,7.5,334
18,3,0.5,5.0e+19,7.5,335
18,5,1,5.0e+19,7.5,336
20,2,1,2.0e+20,7.5,337
12,2,1.5,2.0e+20,22,338
18,2,0.5,1.0e+20,7.5,339
16,5,1.5,2.0e+20,3.9,340
18,5,1,1.0e+20,7.5,341
10,4,0.5,2.0e+20,22,342
20,5,0.5,2.0e+20,3.9,343
16,3,1.5,5.0e+19,7.5,344
20,3,0.5,5.0e+19,7.5,345
10,3,0.5,5.0e+19,22,346
10,5,0.5,5.0e+19,3.9,347
18,5,0.5,2.0e+20,3.9,348
20,5,1,1.0e+20,22,349
14,3,1.5,1.0e+20,22,350
12,5,1.5,5.0e+19,22,351
12,2,1,2.0e+20,3.9,352
16,4,1,2.0e+20,3.9,353
18,4,1.5,5.0e+19,3.9,354
16,5,0.5,2.0e+20,22,355
16,5,1.5,1.0e+20,22,356
18,2,1.5,5.0e+19,22,357
12,4,1,5.0e+19,3.9,358
16,2,1,5.0e+19,3.9,359
14,3,1.5,2.0e+20,22,360
10,4,1.5,2.0e+20,3.9,361
20,2,1.5,2.0e+20,7.5,362
16,2,0.5,2.0e+20,7.5,363
18,2,1,1.0e+20,22,364
14,4,1.5,5.0e+19,22,365
18,3,1,2.0e+20,7.5,366
18,5,1.5,2.0e+20,22,367
20,4,1,5.0e+19,7.5,368
20,4,1.5,5.0e+19,3.9,369
10,5,0.5,1.0e+20,3.9,370
16,4,0.5,5.0e+19,3.9,371
16,2,0.5,5.0e+19,22,372
14,4,0.5,1.0e+20,3.9,373
18,2,1,5.0e+19,22,374
10,3,1.5,1.0e+20,3.9,375
18,2,1.5,2.0e+20,7.5,376
14,2,1.5,1.0e+20,3.9,377
10,2,1.5,5.0e+19,7.5,378
10,2,1,2.0e+20,7.5,379
14,4,1,2.0e+20,7.5,380
18,4,1,2.0e+20,22,381
12,3,0.5,5.0e+19,22,382
12,5,0.5,2.0e+20,3.9,383
10,5,1.5,5.0e+19,22,384
18,5,0.5,1.0e+20,7.5,385
14,3,1.5,2.0e+20,7.5,386
18,3,1.5,1.0e+20,7.5,387
20,2,0.5,1.0e+20,22,388
14,5,1.5,5.0e+19,3.9,389
10,2,1.5,2.0e+20,22,390
12,4,0.5,2.0e+20,22,391
12,3,0.5,5.0e+19,7.5,392
10,4,0.5,1.0e+20,22,393
18,2,1.5,1.0e+20,7.5,394
14,5,0.5,2.0e+20,7.5,395
18,4,1,1.0e+20,7.5,396
16,5,1.5,5.0e+19,22,397
18,4,0.5,1.0e+20,7.5,398
20,5,0.5,1.0e+20,22,399
18,2,0.5,2.0e+20,22,400
12,3,1.5,2.0e+20,3.9,401
18,3,1,1.0e+20,7.5,402
14,3,0.5,5.0e+19,22,403
12,5,1.5,5.0e+19,7.5,404
12,4,1,1.0e+20,22,405
14,4,0.5,2.0e+20,22,406
18,5,0.5,5.0e+19,22,407
10,3,0.5,1.0e+20,22,408
16,2,1.5,2.0e+20,22,409
18,3,1,2.0e+20,22,410
14,3,0.5,5.0e+19,3.9,411
16,4,1.5,2.0e+20,7.5,412
16,2,1.5,1.0e+20,22,413
20,5,1,2.0e+20,3.9,414
20,4,0.5,2.0e+20,7.5,415
18,2,1,5.0e+19,3.9,416
18,5,1,5.0e+19,22,417
10,3,1,5.0e+19,3.9,418
14,5,1,5.0e+19,3.9,419
10,2,0.5,2.0e+20,3.9,420
12,3,1.5,2.0e+20,22,421
18,2,0.5,5.0e+19,3.9,422
10,5,0.5,2.0e+20,22,423
10,3,1,1.0e+20,7.5,424
10,4,0.5,5.0e+19,7.5,425
12,5,1,2.0e+20,7.5,426
16,3,1,2.0e+20,7.5,427
16,5,1,1.0e+20,7.5,428
14,3,1.5,1.0e+20,3.9,429
18,4,0.5,2.0e+20,7.5,430
10,2,1.5,1.0e+20,3.9,431
10,4,1,1.0e+20,7.5,432
14,5,0.5,1.0e+20,3.9,433
16,4,1,1.0e+20,22,434
16,2,1.5,5.0e+19,3.9,435
10,4,0.5,1.0e+20,3.9,436
10,2,0.5,5.0e+19,22,437
16,2,1,1.0e+20,7.5,438
12,4,1.5,5.0e+19,22,439
20,2,0.5,5.0e+19,3.9,440
20,3,1.5,2.0e+20,3.9,441
16,4,0.5,2.0e+20,22,442
14,2,1.5,2.0e+20,22,443
16,3,0.5,2.0e+20,3.9,444
18,3,1.5,5.0e+19,22,445
18,3,0.5,1.0e+20,7.5,446
12,3,1,5.0e+19,7.5,447
16,5,1,5.0e+19,7.5,448
18,5,1.5,1.0e+20,7.5,449
18,5,1.5,5.0e+19,7.5,450
10,5,1.5,2.0e+20,7.5,451
